Question Number,Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answers
1,Eroarea #DIV/0! afișată într-o celulă dintr-un worksheet Excel indică:,Lățimea coloanei este prea mică pentru vizualizare,Nume invalid sau care nu există,Celula referință nu există în acest worksheet,Împărțire la 0,Împărțire la 0
2,Care este rolul etichetei HTML <TR>...</TR>?,Delimitează începutul și sfârșitul unui tabel,Delimitează o celulă dintr-un tabel,Delimitează o linie dintr-un tabel,Afișează ora și minutul curent,Delimitează o linie dintr-un tabel
3,"Data este un model de reprezentare a informației, accesibil calculatorului, cu care se poate opera.",Adevărat,Fals,,,Adevărat
4,"În funcție de momentul în care se produc, datele sunt clasificate în:","Date reale, date false și de valoare incertă (până la evaluare)","Date de intrare, de ieșire și intermediare (de manevră)",Date de intrare și date de ieșire,"Date numerice, date logice și șiruri de caractere","Date de intrare, de ieșire și intermediare (de manevră)"
5,Care este rata de contrast a unui ecran ASUS OLED?,"1,000:1","10,000:1","1,000,000:1","5,000:1","1,000,000:1"
6,În C++ instrucțiunea FOR implementează:,O structură repetitivă cu număr cunoscut de pași,O structură alternativă generalizată,O structură repetitivă cu număr necunoscut de pași,O structură alternativă simplă,O structură repetitivă cu număr necunoscut de pași
7,Operatorii matematici se aplică pe date de tip numeric și furnizează un rezultat de tip numeric.,Adevărat,Fals,,,Adevărat
8,În C++ următorul program afișează:,Nu se poate atribui o valoare float unei variabile int,"-2,7",-3,-2,-2
9,Sistemul audio de ultimă generație pentru anularea zgomotului de fundal și solutia Intel WiFi 6 au rolul de:,A asigura o experiență multimedia de neuitat,A proteja împotriva amenințărilor informatice,A le permite elevilor flexibilitatea să învețe în moduri captivante,A asigura experiențe virtuale neîntrerupte în clasa online,A asigura experiențe virtuale neîntrerupte în clasa online
10,În C++ vectorul este:,Un tablou de memorie (array) cu o singură dimensiune,O pereche formată dintr-o constantă INT și una FLOAT,O variabilă cu rol temporar,O expresie logică validată anterior,Un tablou de memorie (array) cu o singură dimensiune
11,"În funcție de valoare, datele se clasifică în:",Date variabile și date constante,Date elementare și structuri de date,"Date de intrare, de ieșire și intermediare (de manevră)",Date pozitive și date negative,Date variabile și date constante
12,Rezistența laptopului ASUS BR1100C a fost testată prin cădere de la o înălțime de:,50 cm,120 cm,80 cm,1 metru,120 cm
13,Pentru a putea rezolva o problemă cu ajutorul calculatorului trebuie să folosim un program executabil.,Adevărat,Fals,,,Adevărat
14,În C++ algoritmul de sortare prin metoda bulelor:,Parcurge vectorul și compară elementul curent cu succesorul său,Împarte vectorul în două și compară cei doi subvectori,"Duplică vectorul și îl inversează, apoi le compară pe ambele",Efectuează o căutare binară pornind de la ultimul element,Parcurge vectorul și compară elementul curent cu succesorul său
15,Un tablou de memorie (array) este o structură de date externă.,Adevărat,Fals,,,Fals
16,ASUS ExpertCenter E5 AiO 22 (E5202) oferă un ecran cu diagonală de:,"17,3 inch","21,5 inch","15,6 inch",19 inch,"21,5 inch"
17,Un fișier text în C++ conține:,Înregistrări de același tip sau structuri de date organizate în colecții,Codul programului care poate fi executat imediat de procesor,Linii de text cu lungimi diferite,Linii de text cu aceeași lungime,Linii de text cu lungimi diferite
18,În C++ care este funcția cu care poți găsi cel mai apropiat întreg mai mic sau egal cu x?,floor(x),ceil(x),abs(x),pow10(x),floor(x)
19,Balamaua laptopului ASUS ExpertBook B3 Flip (B3402) se poate deschide până la:,45 de grade,90 de grade,180 de grade,360 de grade,360 de grade
20,Limbajele de programare acceptă următoarele tipuri de date:,"Constante, variabile și intermediare (de manevră)",Format text și binare,"Numerice, logice, șiruri de caractere",Constante și logice,"Numerice, logice, șiruri de caractere"
21,Constrângerea operației de împărțire este ca:,Rezultatul să fie de tip întreg,Impărțitul să fie de tip întreg,Împărțitorul să fie pozitiv,Împărțitorul să fie diferit de zero,Împărțitorul să fie diferit de zero
22,Care este procentul cu care ecranele ASUS OLED pentru laptop reduc emisia de lumină albastră dăunătoare?,Până la 10%,Până la 50%,Până la 25%,Până la 70%,Până la 70%
23,"În cazul unui algoritm cu structură liniară, pașii:",Se execută în ordinea în care au fost scriși,"Se execută de mai multe ori, până la rezolvarea problemei",Se execută aleator,Se execută în ordinea inversă scrierii codului,Se execută în ordinea în care au fost scriși
24,În C++ în cazul unei expresii aritmetice cu operanzi numerici de tipuri diferite:,Se execută o conversie aritmetică implicită,Apare o eroare la compilarea programului,Rezultatul expresiei va fi 0 (false),Rezultatul este convertit automat în baza 8,Se execută o conversie aritmetică implicită
25,Capacitatea maximă de memorie RAM cu care poate fi dotat laptopul ASUS ExpertBook B3 Flip (B3402) este:,8 GB,16 GB,32 GB,48 GB,48 GB
