Question Number,Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answers
0,"Șirul lui Fibonacci este definit astfel: f1=1, f2=1, fi=fi-1+fi-2, i≥3. Care sunt primele 10 elemente ale șirului?","1, 2, 3, 5, 8, 13, 21, 34, 46, 55","1, 1, 2, 3, 5, 8, 13, 21, 34, 55","1, 1, 2, 3, 5, 9, 13, 21, 34, 57","1, 1, 2, 3, 5, 8, 13, 23, 37, 58","1, 1, 2, 3, 5, 8, 13, 21, 34, 55"
20,În Excel pentru a selecta cu mouse-ul mai multe căsuțe care nu sunt adiacente trebuie simultan să apeși și pe tasta:,SHIFT,ALT,NUM CLOCK,CTRL,CTRL
40,Care este rolul etichetei HTML <UL>...</UL>?,Afișează textul din interior subliniat,Delimitează începutul și sfârșitul unui tabel,Delimitează o listă ordonată,Delimitează o listă neordonată,Delimitează o listă neordonată
60,Care dintre următoarele caracteristici sunt proprietăți ale algoritmilor?,Rapiditatea,Ambiguitatea,Succesiunea determinată a pașilor,Simplitatea,Succesiunea determinată a pașilor
80,Câte culori poate afișa un ecran ASUS OLED pentru laptop?,"16,7 milioane de culori","1,07 miliarde de culori",1 milion de culori,100 de milioane de culori,"1,07 miliarde de culori"
100,În C++ condiția if(i<5 && i!=4) se execută dacă:,Variabila ”i” este mai mică decât 5 și diferă de 4,Variabila ”i” este mai mică decât 5 și egală cu 4,Variabila ”i” este mai mare ca 5 și este multiplu de 4,Nu se execută: variabila ”i” nu poate fi mai mare ca 5 și egală cu 4,Variabila ”i” este mai mică decât 5 și diferă de 4
120,În C++ caracterele || reprezintă:,Operatorul logic “ȘI”,Operatorul logic “SAU”,Operatorul de negație logică,Operatorul relațional de inegalitate,Operatorul logic “SAU”
140,Instrucțiunea SWITCH...CASE poate fi folosită în locul unor instrucțiuni imbricate IF...ELSE.,Adevărat,Fals,,,Adevărat
160,Tastaturile cu protecție antibacteriană și ecranele certificate TÜV-Rheinland au rolul de:,A proteja echipamentul împotriva utilizării incorecte,A crește viteza de învățare,A proteja utilizatorii de bacteriile dăunatoare și a le proteja ochii,A crește durata de viață a produselor,A proteja utilizatorii de bacteriile dăunatoare și a le proteja ochii
180,Operatorii relaționali (de comparație) se aplică pe:,Operanzi de tip logic,Operanzi de tip numeric și tip șir de caractere,Operanzi de tip numeric și de tip logic,Operanzi de tip șir de caractere,Operanzi de tip numeric și tip șir de caractere
200,Ce face următorul program în C++:,Citește un număr de la tastatură și afișează dacă este par sau impar,Citește un număr din fișierul namespace și afișează dacă este par sau impar,Verifică dacă variabila n este mai mică decât cin și afișează rezultatul,Indică dacă un număr ridicat la puterea a 2-a este par,Citește un număr de la tastatură și afișează dacă este par sau impar
220,Un tablou de memorie (array) este:,Colecție de date cu elemente relaționate între ele,O structură de date definită logic,O locație de memorie unde se stochează date temporare,O structură de date internă formată dintr-o mulțime ordonată de elemente,O structură de date internă formată dintr-o mulțime ordonată de elemente
240,Care este numărul de cicluri de închidere-deschidere cu care a fost testată rezistența balamalelor lui ASUS BR1100C?,"5,000","10,000","20,000","30,000","30,000"
260,O structură de date este:,Secvență de operații care se execută repetat,Colecție de date cu elemente relaționate între ele,Date elementare ce pot fi folosit în orice program,Informații de intrare și de ieșire folosite de un anumit program,Colecție de date cu elemente relaționate între ele
280,În C++ interclasarea a doi vectori reprezintă:,Compararea elementelor de pe acceeași poziție în fiecare vector,Crearea unui vector nou prin concatenarea celor doi vectori,"Reuniunea vectorilor, urmată de ordonarea vectorului rezultat",Crearea unui vector nou prin adunarea elementelor de pe aceeasi poziție,"Reuniunea vectorilor, urmată de ordonarea vectorului rezultat"
300,Accesul direct la înregistrările unui fișier este mai rapid față de accesul secvențial și nu depinde de nr. acestora.,Adevărat,Fals,,,Fals
320,Standardul MIL-STD-810H implementat de ASUS este un standard de:,Securitate pe mai multe niveluri,Durabilitate de grad militar,Învățare rapidă fără profesor,Certificare pentru utilizarea în mediul educațional,Durabilitate de grad militar
340,"Într-un fișier text destinat utilizării în C++, marcajele newline și eol trebuie inserate manual de către utilizator.",Adevărat,Fals,,,Fals
360,În C++ care este funcția cu care poți șterge toate informațiile de pe ecran?,eof(),close(),setw(),clrscr(),clrscr()
380,Tipul de date logic sau boolean a fost implementat pentru reprezentarea datelor care:,Sunt tratate ca un tot unitar,Nu pot lua decât două valori: adevărat (true) sau fals (false),Realizează operațiuni matematice,Nu pot avea valori negative,Nu pot lua decât două valori: adevărat (true) sau fals (false)
400,ASUS ExpertCenter E5 AiO 22 (E5202) poate fi dotat cu până la:,4 GB memorie RAM,8 GB memorie RAM,16 GB memorie RAM,32 GB memorie RAM,32 GB memorie RAM
420,Care dintre următoarele afirmații este adevărată în cazul unui algoritm cu structură alternativă simplă?,"Se execută la cerere, în funcție de opțiunea utilizatorului","Pașii se execută de mai multe ori, până la rezolvarea problemei",Pașii se execută opțional,Selectarea unei acțiuni se face în funcție de îndeplinirea unei condiții,Selectarea unei acțiuni se face în funcție de îndeplinirea unei condiții
440,Ce reprezintă identificatorii dintr-un program?,Funcții folosite pentru a calcula valori,Relații între operatori și constante,"Succesiuni de litere, cifre și alte caractere pentru denumirea obiectelor",Cuvinte cheie folosite în execuția programului,"Succesiuni de litere, cifre și alte caractere pentru denumirea obiectelor"
